id,series,subject,grade,term,year,publisher,type,title,pages,paper_count,unit_price,no_cover_price,has_cover,companion_of,file
76,سلاح التلميذ,رياضيات,5,1,,المتميزون,كتاب,سلاح التلميذ - رياضيات - الصف الخامس الابتدائي - الترم الأول - المتميزون.pdf,290,145,114.25,94.25,True,,library\Grade_05\سلاح التلميذ - رياضيات - الصف الخامس الابتدائي - الترم الأول - المتميزون.pdf
77,سلاح التلميذ,عربي,5,1,2027,,كتاب,سلاح التلميذ - عربي - الصف الخامس الابتدائي - الترم الأول - 2027.pdf,274,137,109.05,89.05,True,,library\Grade_05\سلاح التلميذ - عربي - الصف الخامس الابتدائي - الترم الأول - 2027.pdf
78,سلاح التلميذ,علوم,5,1,2027,المتميزون,كتاب,سلاح التلميذ - علوم - الصف الخامس الابتدائي - الترم الأول - 2027 - المتميزون - ‎⁨ ⁩.pdf,210,105,88.25,68.25,True,,library\Grade_05\سلاح التلميذ - علوم - الصف الخامس الابتدائي - الترم الأول - 2027 - المتميزون - ‎⁨ ⁩.pdf
79,سلاح التلميذ,علوم,5,1,2027,المتميزون,كتاب,سلاح التلميذ - علوم - الصف الخامس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,210,105,88.25,68.25,True,,library\Grade_05\سلاح التلميذ - علوم - الصف الخامس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
80,قطر الندى,دراسات,5,1,2027,المتميزون,كتاب,قطر الندى - دراسات - الصف الخامس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,234,117,96.05,76.05,True,,library\Grade_05\قطر الندى - دراسات - الصف الخامس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
81,الاضواء,,5,1,2027,,ملحق,ملحق الاضواء - الصف الخامس الابتدائي - الترم الأول - 2027 - رياضه.pdf,82,41,46.65,26.65,True,59,library\Grade_05\ملحق الاضواء - الصف الخامس الابتدائي - الترم الأول - 2027 - رياضه.pdf
82,الاضواء,عربي,5,1,2027,,ملحق,ملحق الاضواء - عربي - الصف الخامس الابتدائي - الترم الأول - 2027.pdf,98,49,51.85,31.85,True,60,library\Grade_05\ملحق الاضواء - عربي - الصف الخامس الابتدائي - الترم الأول - 2027.pdf
83,التأسيس,دراسات,5,1,2027,,ملحق,ملحق التأسيس - دراسات - الصف الخامس الابتدائي - الترم الأول - 2027.pdf,50,25,36.25,16.25,True,61,library\Grade_05\ملحق التأسيس - دراسات - الصف الخامس الابتدائي - الترم الأول - 2027.pdf
84,التأسيس,عربي,5,1,2027,,ملحق,ملحق التأسيس - عربي - الصف الخامس الابتدائي - الترم الأول - 2027.pdf,50,25,36.25,16.25,True,62,library\Grade_05\ملحق التأسيس - عربي - الصف الخامس الابتدائي - الترم الأول - 2027.pdf
85,الشاطر,عربي,5,1,2027,,ملحق,ملحق الشاطر - عربي - الصف الخامس الابتدائي - الترم الأول - 2027.pdf,82,41,46.65,26.65,True,64,library\Grade_05\ملحق الشاطر - عربي - الصف الخامس الابتدائي - الترم الأول - 2027.pdf
86,,,5,1,2027,المتميزون,ملحق,ملحق الصف الخامس الابتدائي - الترم الأول - 2027 - المتميزون - بت باي بت.pdf,114,57,57.05,37.05,True,65,library\Grade_05\ملحق الصف الخامس الابتدائي - الترم الأول - 2027 - المتميزون - بت باي بت.pdf
87,المعاصر,انجليزي,5,1,2027,المتميزون,ملحق,ملحق المعاصر - انجليزي - الصف الخامس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,46,23,34.95,14.95,True,68,library\Grade_05\ملحق المعاصر - انجليزي - الصف الخامس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
88,جيم,انجليزي,5,1,2027,,ملحق,ملحق جيم - انجليزي - الصف الخامس الابتدائي - الترم الأول - 2027.pdf,73,36,43.4,23.4,True,70,library\Grade_05\ملحق جيم - انجليزي - الصف الخامس الابتدائي - الترم الأول - 2027.pdf
89,سلاح التلميذ,عربي,5,1,2027,,ملحق,ملحق سلاح التلميذ - عربي - الصف الخامس الابتدائي - الترم الأول - 2027.pdf,130,65,62.25,42.25,True,77,library\Grade_05\ملحق سلاح التلميذ - عربي - الصف الخامس الابتدائي - الترم الأول - 2027.pdf
90,الاضواء,دراسات,6,1,2027,المتميزون,كتاب,الاضواء - دراسات - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,218,109,90.85,70.85,True,,library\Grade_06\الاضواء - دراسات - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
91,الاضواء,دراسات,6,,,,كتاب,الاضواء - دراسات - الصف السادس الابتدائي.pdf,218,109,90.85,70.85,True,,library\Grade_06\الاضواء - دراسات - الصف السادس الابتدائي.pdf
92,الاضواء,رياضيات,6,1,2027,المتميزون,كتاب,الاضواء - رياضيات - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,210,105,88.25,68.25,True,,library\Grade_06\الاضواء - رياضيات - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
93,الاضواء,رياضيات,6,,,,كتاب,الاضواء - رياضيات - الصف السادس الابتدائي.pdf,210,105,88.25,68.25,True,,library\Grade_06\الاضواء - رياضيات - الصف السادس الابتدائي.pdf
94,الاضواء,عربي,6,1,2027,,كتاب,الاضواء - عربي - الصف السادس الابتدائي - الترم الأول - 2027.pdf,288,144,113.6,93.6,True,,library\Grade_06\الاضواء - عربي - الصف السادس الابتدائي - الترم الأول - 2027.pdf
95,التأسيس,دراسات,6,1,2027,المتميزون,كتاب,التأسيس - دراسات - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,242,121,98.65,78.65,True,,library\Grade_06\التأسيس - دراسات - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
96,التأسيس,عربي,6,1,2027,,كتاب,التأسيس - عربي - الصف السادس الابتدائي - الترم الأول - 2027.pdf,258,129,103.85,83.85,True,,library\Grade_06\التأسيس - عربي - الصف السادس الابتدائي - الترم الأول - 2027.pdf
